Name;ID;Date;Algorithms;Architecture;Field;Evaluation;Task;Input;Results
Ushizima et al. 2020-1;ID057;2020;"RF; SVMr; FNN";"Ensemble Learning;Polynomial Classifier;Artificial Neural Network";Geoarchaeology;Classification;Artefact Classification;Spectra;Successful
Ushizima et al. 2020-2;ID057;2020;"CNN; SLIC";"Artificial Neural Network;Unsupervised Learning and Clustering";Geoarchaeology;Clustering;Image Segmentation;Spectra;Successful
Yaworsky et al. 2020;ID058;2020;"RF; MaEnt";"Ensemble Learning;Bayesian Classifier";Landscape Archaeology;Regression;Archaeological Predictive Model;Remote Sensing Images;Successful
Abitbol et al. 2021;ID059;2021;AleNet;Artificial Neural Network;Conservation and Cataloguing;Regression;Data Quality Improvement;Text Images;Unsuccessful
Adam and Moy 2021;ID060;2021;;;;;;;
Agapiou et al. 2021-2;ID061;2021;RF;Ensemble Learning;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Successful
Agapiou et al. 2021-1;ID061;2021;ResNet;Artificial Neural Network;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Unsuccessful
Anichini et al. 2021;ID062;2021;ResNet;Artificial Neural Network;Classification (of material) and Typology;Classification;Artefact Classification;Small Scale Images;Unsuccessful
Berganzo-Besga et al. 2021;ID063;2021;YOLO;Artificial Neural Network;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Successful
Bertrand et al. 2021;ID064;2021;;;;;;;
Bonhage et al. 2021;ID065;2021;MR-CNN;Artificial Neural Network;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Successful
Borba et al. 2021;ID066;2021;;;;;;;
Bordón et al. 2021;ID067;2021;VL-CC;Ensemble Learning;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Brandsen and Lippok 2021;ID068;2021;BERT;Artificial Neural Network;Conservation and Cataloguing;Classification;Text Extraction;Text Data;Successful
Cacciari and Pocobelli 2021;ID069;2021;k-MC;N/A;;;;Remote Sensing Images;
Carter et al. 2021;ID070;2021;MR-CNN;Artificial Neural Network;"Surveying (and Site Prospection);Landscape Archaeology";Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Character et al. 2021;ID071;2021;YOLO;Artificial Neural Network;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Chowdhury et al. 2021;ID072;2021;RF;Ensemble Learning;Zooarchaeology;Regression;Biochemical Prediction;Spectra;Successful
Courtenay et al. 2021;ID073;2021;"SVM; NSVM";"Linear Classifier;Artificial Neural Network";"Zooarchaeology;Taphonomic;Classification (of material) and Typology;";Classification;Taphonomic Classification;Artefact Measurements;Mixed results
Crawford and Paglen 2021;ID074;2021;;;;;;;
Davis and Lundin 2021;ID075;2021;RN;Artificial Neural Network;"Surveying (and Site Prospection);Landscape Archaeology";Classification;Automatic Structure Detection;Remote Sensing Images;Unsuccessful
Davis et al. 2021;ID076;2021;"MR-CNN; RF";"Artificial Neural Network;Ensemble Learning";Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Unsuccessful
Dhivya and Devi. 2021;ID077;2021;CNN;Artificial Neural Network;Conservation and Cataloguing;Classification;Text Extraction;Text Images;Unsuccessful
Dominguez-Rodrigo et al. 2021;ID078;2021;"VGG; ResNet; INC; JAS2; DN201";"Artificial Neural Network;Artificial Neural Network;Artificial Neural Network;Artificial Neural Network;Artificial Neural Network;";"Taphonomic;Bioarchaeology (Biological Anthropology)";Classification;Taphonomic Classification;Small Scale Images;Mixed results
Elliot et al. 2021;ID079;2021;"RF; SVM; kNN";"Ensemble Learning;Linear Classifier;Nearest Neighbour Classifier";"Geoarchaeology;Classification (of material) and Typology";Classification;Sourcing;Data Transformations;Successful
Felicetti et al. 2021;ID080;2021;U-Net;Artificial Neural Network;Conservation and Cataloguing;Classification;Architectural Element Classification;Remote Sensing Images;Successful
Orellana Figuerora et al. 2021;ID081;2021;;;;;;;
Garcia-Molsosa et al. 2021;ID082;2021;U-Net;Artificial Neural Network;"Surveying (and Site Prospection);Historical Archaeology";Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Gualandi et al. 2021-1;ID083;2021;FNN;Artificial Neural Network;Classification (of material) and Typology;Classification;Artefact Classification;Small Scale Images;Mixed results
